net,length_um
net1,63.63
net12,51.9
_02_,50.14
net9,49.16
net6,45.19
net5,41.72
_00_,33.5
net10,33.18
net13,30.5
_07_,29.84
net15,29.42
net2,28.28
_03_,27.66
net14,25.84
net16,25.1
_08_,23.42
_04_,23.08
net8,22.3
net7,19.48
net4,16.56
_05_,16.22
net3,15.94
net11,15.34
_06_,13.68
in[0],12.09
out[1],11.23
out[3],11.19
out[4],10.39
_09_,9.94
out[5],9.63
in[4],8.63
out[6],8.27
in[2],6.31
in[7],5.97
in[6],5.63
out[0],5.07
out[2],5.07
out[7],5.07
in[5],4.95
in[1],4.61
in[3],4.61
_01_,2.16
