net,length_um
_159_,234.415
_161_,233.205
decoder.digit\[0\],233.08
_160_,218.9
_095_,205.72
_085_,200.38
_077_,191.89
one_second_counter\[12\],191.42
_114_,189.92
_127_,185.38
_075_,177.645
decoder.digit\[3\],172.43
one_second_counter\[1\],171.24
one_second_enable,170.285
one_second_counter\[10\],165.91
net1,161.73
decoder.digit\[1\],158.02
one_second_counter\[0\],153.52
_109_,147.46
_082_,141.14
_035_,140.71
_009_,138.24
_069_,137.48
_089_,136.38
one_second_counter\[13\],135.08
net4,128.95
_155_,127.56
_081_,125.28
_020_,124.68
one_second_counter\[8\],122.08
_112_,121.98
_064_,121.6
one_second_counter\[11\],120.12
_068_,117.08
one_second_counter\[25\],116.82
_078_,111.57
one_second_counter\[14\],110.95
_103_,109.9
_027_,109.265
one_second_counter\[17\],107.24
one_second_counter\[18\],106.025
decoder.digit\[2\],105.62
one_second_counter\[22\],105.51
one_second_counter\[24\],105.4
_049_,104.29
net2,101.46
_052_,101.35
_096_,100.26
_076_,98.93
_100_,97.63
one_second_counter\[20\],97.25
one_second_counter\[4\],95.5
_050_,94.38
one_second_counter\[5\],93.75
_104_,91.52
one_second_counter\[16\],91.36
_111_,91.08
_028_,91.06
_119_,90.46
_066_,89.07
_129_,88.98
_018_,88.04
_136_,86.42
_135_,85.63
_139_,85.28
clknet_2_0__leaf_clk,84.78
one_second_counter\[2\],82.52
one_second_counter\[9\],80.94
_001_,80.06
_059_,79.3
_045_,78.65
_101_,78.24
_065_,77.85
_156_,76.86
one_second_counter\[23\],76.3
clknet_2_3__leaf_clk,75.54
one_second_counter\[15\],75.035
_110_,74.62
_084_,73.64
clknet_2_1__leaf_clk,73.61
_005_,73.145
clknet_2_2__leaf_clk,72.955
_124_,72.72
_152_,72.24
_029_,72.16
_143_,71.28
_148_,70.75
_010_,70.72
one_second_counter\[21\],70.44
_153_,70.26
one_second_counter\[19\],69.89
_030_,69.58
_098_,69.26
_067_,69.25
_014_,68.64
_123_,67.85
_091_,67.52
_140_,67.28
_025_,66.35
_034_,66.2
_037_,66.09
_083_,66.04
_086_,65.82
net5,65.46
_047_,65.15
_150_,64.85
_072_,64.76
_063_,63.59
_097_,63.14
_094_,63.02
_054_,62.75
_024_,60.02
_070_,59.68
one_second_counter\[6\],59.64
_062_,58.34
_060_,57.52
_137_,57.44
_016_,57.08
net7,56.84
_015_,56.8
_023_,55.58
_002_,55.5
_088_,54.82
_157_,54.1
clk,54.09
_036_,53.18
_092_,53.12
_121_,52.61
_133_,51.68
clknet_0_clk,50.01
one_second_counter\[3\],49.74
_154_,48.7
_080_,48.64
_116_,48.34
_105_,47.52
_108_,47.08
_051_,45.97
_055_,45.94
_046_,45.59
net6,45.18
_073_,43.92
_113_,43.88
_144_,43.8
_058_,43.57
_041_,42.97
_006_,42.175
_138_,41.68
_149_,40.6
_117_,40.48
_003_,38.82
one_second_counter\[26\],38.71
_031_,37.63
_102_,37.6
_017_,37.36
_126_,37.34
_118_,35.16
_151_,34.46
one_second_counter\[7\],34.3
net3,34.26
_012_,34.06
_134_,33.7
_008_,33.56
_125_,33.14
_022_,32.92
_040_,32.46
_000_,31.36
_061_,31.14
_146_,30.64
_039_,30.37
_074_,29.78
_141_,29.36
net8,28.04
_042_,27.41
_130_,27.12
_011_,26.76
_071_,25.64
_056_,25.17
_093_,25.08
_122_,23.72
_090_,23.3
_053_,22.52
_107_,22.24
_158_,21.82
_120_,21.52
_026_,21.34
_115_,21.08
_145_,20.82
_038_,20.61
_106_,20.16
_007_,19.46
_043_,19.35
_044_,19.34
_079_,18.02
_087_,17.44
_099_,15.78
_013_,15.68
_021_,14.68
_019_,14.54
_128_,14.24
seg0,13.97
_048_,13.61
seg2,11.57
net9,11.19
_004_,10.9
_131_,10.86
_033_,10.7
_147_,9.82
seg5,8.49
_032_,7.82
seg4,7.79
net16,7.15
seg1,7.15
seg3,7.15
net14,6.91
_142_,6.64
rst,6.31
_132_,5.45
net12,4.73
net11,4.39
net13,4.39
net15,4.39
net10,4.39
seg6,4.39
_057_,3.23
