net,length_um
_061_,94.34
_063_,88.76
_072_,87.5
_053_,85.3
_076_,75.04
net6,71.3
_057_,71.22
net5,62.94
_077_,59.83
_070_,59.58
net2,58.515
net9,56.5
net7,56.28
net3,53.66
net4,53.415
_054_,52.37
net1,51.44
net10,50.96
net17,50.58
net15,47.42
net14,46.94
_003_,42.88
net8,41.8
_046_,41.07
net18,38.62
net19,38.535
net12,37.92
net11,37.75
net13,36.975
net16,35.8
net25,34.42
_087_,33.58
net26,32.4
net24,28.02
_096_,27.14
net27,26.64
_045_,24.78
_010_,24.08
net21,23.92
net23,23.42
net20,21.54
_048_,21.42
_112_,21.18
_049_,19.38
B[4],17.93
net22,17.24
_016_,15.8
_092_,14.86
_029_,13.86
_036_,13.54
_030_,13.16
_037_,13
A[0],12.74
_038_,11.84
_001_,11.82
_065_,11.66
A[3],11.61
_094_,11.28
out[1],11.22
opcode[1],11.02
out[3],10.81
_008_,10.74
_098_,10.72
B[3],10.71
out[2],10.71
_097_,10.52
B[2],10.35
out[7],10.35
_011_,10.24
_103_,10.22
A[7],9.89
A[4],9.79
A[2],9.45
A[6],9.3
B[5],9.3
B[7],9.21
B[0],9.18
_064_,9.05
opcode[2],8.99
out[6],8.99
_004_,8.98
_109_,8.86
B[1],8.84
B[6],8.84
A[1],8.72
opcode[0],8.72
_014_,8.66
_012_,8.56
_067_,8.46
A[5],8.38
out[4],8.28
_033_,8.2
_069_,8.06
out[0],8.04
_022_,8.02
out[5],7.82
_091_,7.56
_055_,7.48
_080_,7.44
_081_,7.12
_023_,6.86
_101_,6.86
_095_,6.78
_002_,6.76
_005_,6.64
_090_,6.34
_015_,6.18
_027_,6.18
_089_,6.18
_021_,6.14
_108_,5.94
_006_,5.84
_035_,5.8
_044_,5.68
_041_,5.34
_110_,5.02
_024_,4.9
_050_,4.88
_099_,4.56
_075_,4.48
_084_,4.48
_025_,4.34
_060_,4.14
_088_,4.02
_032_,3.86
_052_,3.64
_106_,3.56
_000_,3.42
_062_,3.42
_100_,3.42
_111_,3.42
_083_,3.2
_013_,3.1
_031_,3.1
_078_,3.08
_093_,3.08
_104_,3.01
_007_,2.96
_082_,2.96
_009_,2.62
_028_,2.62
_102_,2.62
_105_,2.62
_073_,2.52
_017_,2.5
_020_,2.5
_026_,2.5
_034_,2.5
_068_,2.3
_040_,2.28
_047_,2.18
_085_,2.18
_019_,2.16
_039_,2.16
_043_,2.16
_051_,2.16
_059_,2.06
_058_,2.04
_071_,2.04
_042_,1.84
_086_,1.84
_056_,1.82
_018_,1.26
_107_,1.26
_074_,1.02
_079_,0.8
_066_,0.46
