net,length_um
_1125_,181.98
_2363_,181.49
_1677_,180.86
_1168_,180.4
_1399_,180.27
_2327_,180.08
_1645_,178.165
_1169_,178.07
_3481_,177.57
_3118_,177.56
_3627_,177.28
_1639_,176.55
_3056_,175.6
_2015_,174.08
_3050_,173.86
_1923_,172.11
_1669_,171.94
_3663_,171.2
_1839_,170.96
_3095_,170.86
_4168_,170.54
net23,170.37
_4096_,170.24
_3052_,170.2
net20,170.07
_1820_,169.5
_3062_,167.8
_1642_,167.74
_3807_,167.56
_1904_,167.01
_1471_,166.95
net11,166.915
_3474_,165.6
_3735_,165.5
_1858_,164.78
net21,163.06
_1800_,161.72
_1668_,161.04
_2151_,160.8
net26,160.47
_3339_,160.26
_1146_,159.74
_2421_,159.535
net12,159.36
_1838_,158.615
_2102_,157.835
net17,157.47
_1384_,157.34
_3075_,157.34
_1059_,156.83
net22,156.6
_3107_,156.54
_3105_,156.3
net13,155.525
_3879_,155.28
_1060_,154.58
_3230_,154.42
_3476_,154.22
_1148_,154.08
net51,153.98
_3479_,153.52
_1609_,153.24
_3446_,153.08
_1167_,152.79
net32,152.54
net19,152.04
_2347_,151.34
_3450_,150.88
_2373_,150.85
_1572_,150.505
_2049_,149.94
_2337_,149.41
_3116_,149.05
_2105_,147.48
_3448_,147.28
_3143_,146.65
_4204_,145.86
_2062_,145.24
_3054_,145.22
_1334_,145.16
_3988_,144.93
_3951_,144.88
_3060_,144.5
_3058_,144.02
_3843_,143.52
_1502_,142.96
_3011_,142.82
_1111_,142.765
_1127_,142.3
_3466_,141.98
net9,141.92
net45,141.6
_3071_,141.08
_3002_,140.88
net50,140.74
_1655_,140.34
_1126_,139.43
_1360_,139.03
net10,138.84
_1266_,138.28
_1361_,137.38
_1942_,137.32
_3134_,137.04
clknet_leaf_18_CLK,137.02
_1754_,135.68
_3079_,135.65
_2097_,135.56
clknet_leaf_23_CLK,135.3
_1744_,135.28
net38,135.18
_1166_,134.79
_3048_,134.54
net64,134.5
_1849_,133.94
_3022_,133.94
net46,132.94
_2286_,132.74
_3455_,132.74
_2503_,132.64
_1147_,131.66
net37,131.16
_2408_,130.94
_1348_,130.78
_1087_,130.715
net80,130.48
_2595_,130.24
_3468_,130.1
_3015_,129.91
_1803_,129.28
_2131_,128.96
_3081_,128.8
_1660_,128.56
_1877_,128.24
clknet_leaf_59_CLK,128.22
_2501_,127.06
_3067_,126.715
_1277_,126.64
_2080_,126.52
_3097_,126.46
_3111_,126.39
_2333_,125.84
_3017_,125.56
_3046_,125
_1315_,124.58
_3915_,124.14
_3472_,123.96
_3037_,123.67
_3103_,123.52
_1758_,122.795
_2110_,122.7
_1485_,122.24
net28,121.3
_3464_,121.26
_3101_,120.72
_2536_,120.51
_1437_,120.38
_1237_,120.04
_1421_,120.02
_2496_,119.925
_2411_,119.76
_1528_,119.72
_1601_,118.6
clknet_leaf_58_CLK,118.6
clknet_leaf_25_CLK,118.51
_3027_,118.48
_1464_,118.46
_1996_,118.38
_3029_,118.32
_2504_,118.265
_2104_,118.08
clknet_leaf_39_CLK,117.44
_1370_,117.22
clknet_leaf_1_CLK,117.18
clknet_leaf_44_CLK,117.16
_3442_,117.08
_3013_,116.92
net16,116.64
_3460_,116.41
_3035_,115.98
_3025_,115.95
_1558_,115.86
_1829_,115.6
_1640_,115.56
net53,115.52
_1578_,115.22
net55,115
_2621_,114.84
_3039_,114.8
_1034_,114.61
clknet_leaf_38_CLK,114.46
_3458_,114.34
net43,114.34
_1549_,114.3
net56,113
_2426_,112.725
net48,112.72
net68,112.66
_2530_,111.97
_3452_,111.26
_3033_,111.12
_1798_,110.85
clknet_leaf_15_CLK,110.84
_1306_,110.5
net67,110.12
net65,109.78
_2255_,108.59
net58,108.4
_1962_,108.19
net75,108.18
_1811_,108.08
net47,107.99
net49,107.86
net59,107.86
_3454_,106.73
_3043_,106.42
net63,106.34
clknet_leaf_49_CLK,106.16
net52,106.02
clknet_leaf_76_CLK,105.96
net79,105.9
_3085_,105.7
_1625_,105.56
_2056_,105.34
_2591_,105.165
_4132_,105.02
_3089_,104.79
A2[0],104.56
clknet_leaf_81_CLK,104.2
_3087_,104.02
_2741_,104
_1666_,103.78
clknet_leaf_69_CLK,103.625
_2254_,103.345
_3083_,103.32
net66,103.22
net54,102.96
_1730_,102.9
net69,102.52
net18,102.14
net77,102.08
_3064_,101.61
net34,101.58
_1494_,101.5
net44,101.26
net72,101.24
clknet_leaf_82_CLK,100.91
clknet_leaf_78_CLK,100.74
clknet_leaf_96_CLK,100.6
clknet_leaf_32_CLK,100.42
net61,100.32
net57,100.22
clknet_leaf_92_CLK,100.02
_2246_,99.86
_1430_,99.84
_3506_,99.58
_3077_,99.48
clknet_leaf_2_CLK,98.92
clknet_leaf_35_CLK,98.9
clknet_leaf_74_CLK,98.245
_2251_,97.99
clknet_leaf_91_CLK,97.96
net73,97.82
clknet_leaf_50_CLK,97.66
_1416_,97.3
clknet_leaf_88_CLK,96.86
_3073_,96.55
clknet_leaf_40_CLK,96.36
clknet_leaf_61_CLK,96.35
clknet_leaf_86_CLK,96.03
net78,95.9
_2442_,95.4
clknet_leaf_67_CLK,95.24
_2201_,94.38
clknet_leaf_13_CLK,94.16
clknet_leaf_8_CLK,94.125
clknet_leaf_42_CLK,93.93
_2229_,93.92
net15,93.74
_3497_,93.62
clknet_leaf_46_CLK,93.58
_1271_,93.22
_3019_,93.18
clknet_leaf_68_CLK,93.02
clknet_leaf_4_CLK,92.98
_1592_,92.4
clknet_leaf_93_CLK,92.12
_3109_,92
clknet_leaf_10_CLK,91.96
clknet_leaf_27_CLK,91.88
net76,91.42
clknet_leaf_73_CLK,90.76
clknet_leaf_34_CLK,90.635
net35,90.38
_2336_,89.82
clknet_leaf_83_CLK,89.8
clknet_leaf_3_CLK,89.54
_3031_,88.73
_3041_,88.7
clknet_leaf_65_CLK,88.64
clknet_leaf_87_CLK,88.54
clknet_leaf_90_CLK,88.5
_1776_,88.08
net70,87.92
clknet_leaf_47_CLK,87.54
_1865_,87.38
clknet_leaf_11_CLK,87.28
net29,87.1
clknet_leaf_95_CLK,86.9
clknet_leaf_36_CLK,86.62
_2462_,86.53
_1298_,86.44
net25,85.48
clknet_leaf_63_CLK,84.87
clknet_leaf_31_CLK,84.72
clknet_leaf_57_CLK,84.72
clknet_leaf_14_CLK,84.04
net60,84
net30,83.18
clknet_leaf_5_CLK,83
clknet_leaf_48_CLK,82.86
A2[1],82.84
net42,82.06
clknet_leaf_84_CLK,82.06
_2701_,81.96
clknet_leaf_16_CLK,81.6
clknet_leaf_62_CLK,81.6
clknet_leaf_6_CLK,81.59
clknet_leaf_64_CLK,81.53
net71,81.52
clknet_leaf_43_CLK,81.5
clknet_leaf_7_CLK,81.26
clknet_leaf_45_CLK,80.675
_1478_,80.66
clknet_leaf_72_CLK,80.58
_1976_,79.66
_1480_,79.58
clknet_leaf_89_CLK,79.16
clknet_leaf_30_CLK,78.94
clknet_leaf_9_CLK,78.22
_2253_,78.12
_1587_,77.58
net74,77.5
net6,77.36
clknet_leaf_54_CLK,76.72
_3155_,76.64
_2335_,76.61
net62,76.32
_1634_,75.18
_2013_,74.94
