net,length_um
RF.registers\[9\]\[20\],23.58
RF.registers\[4\]\[7\],23.56
RF.registers\[22\]\[25\],23.535
RF.registers\[12\]\[24\],23.52
RF.registers\[15\]\[10\],23.52
RF.registers\[14\]\[15\],23.51
RF.registers\[17\]\[28\],23.5
RF.registers\[24\]\[22\],23.48
RF.registers\[14\]\[10\],23.395
RF.registers\[2\]\[29\],23.375
RF.registers\[6\]\[21\],23.335
_1500_,23.32
_2794_,23.32
RF.registers\[2\]\[0\],23.3
RF.registers\[26\]\[26\],23.29
RF.registers\[2\]\[2\],23.265
_1335_,23.26
RF.registers\[14\]\[18\],23.25
_1574_,23.24
RF.registers\[18\]\[17\],23.205
_2109_,23.2
_1784_,23.18
_2815_,23.18
RF.registers\[14\]\[1\],23.165
RF.registers\[22\]\[17\],23.15
RF.registers\[20\]\[1\],23.12
RF.registers\[31\]\[8\],23.12
RF.registers\[0\]\[19\],23.11
RF.registers\[10\]\[4\],23.1
RF.registers\[20\]\[17\],23.1
RF.registers\[17\]\[24\],23.08
RF.registers\[16\]\[0\],23.06
RF.registers\[24\]\[29\],23.06
RF.registers\[31\]\[5\],23.06
RF.registers\[15\]\[11\],23.04
clknet_leaf_97_CLK,23.04
RF.registers\[11\]\[3\],23.02
RF.registers\[21\]\[27\],23.02
RF.registers\[27\]\[15\],23
RF.registers\[26\]\[0\],22.995
RF.registers\[11\]\[28\],22.98
RF.registers\[5\]\[17\],22.98
RF.registers\[25\]\[2\],22.96
RF.registers\[28\]\[7\],22.96
_1159_,22.96
RF.registers\[6\]\[9\],22.925
_2371_,22.92
_2995_,22.92
RF.registers\[0\]\[8\],22.9
RF.registers\[28\]\[19\],22.9
_1397_,22.9
RF.registers\[25\]\[11\],22.88
_3552_,22.84
_1548_,22.82
RF.registers\[1\]\[26\],22.8
_2904_,22.8
_2396_,22.77
_1329_,22.76
RF.registers\[22\]\[8\],22.73
RF.registers\[15\]\[18\],22.72
RF.registers\[8\]\[20\],22.72
RF.registers\[22\]\[10\],22.715
RF.registers\[30\]\[21\],22.71
RF.registers\[0\]\[6\],22.7
RF.registers\[26\]\[30\],22.695
RF.registers\[12\]\[1\],22.66
_2695_,22.64
RF.registers\[5\]\[10\],22.6
RF.registers\[30\]\[8\],22.59
_1380_,22.58
RF.registers\[8\]\[16\],22.56
RF.registers\[26\]\[4\],22.53
RF.registers\[11\]\[17\],22.52
_1470_,22.48
_2799_,22.48
RF.registers\[30\]\[27\],22.47
RF.registers\[8\]\[10\],22.46
_2048_,22.46
RF.registers\[22\]\[1\],22.45
RF.registers\[18\]\[13\],22.435
RF.registers\[30\]\[17\],22.435
RF.registers\[31\]\[26\],22.42
RF.registers\[9\]\[6\],22.42
_1916_,22.4
RF.registers\[15\]\[20\],22.38
RF.registers\[18\]\[14\],22.38
RF.registers\[14\]\[28\],22.365
RF.registers\[24\]\[13\],22.34
RF.registers\[16\]\[2\],22.32
_2285_,22.3
_2927_,22.3
RF.registers\[15\]\[14\],22.28
RF.registers\[19\]\[19\],22.28
RF.registers\[3\]\[30\],22.28
_2703_,22.275
RF.registers\[23\]\[8\],22.27
RF.registers\[20\]\[30\],22.26
RF.registers\[31\]\[29\],22.26
RF.registers\[27\]\[20\],22.24
RF.registers\[9\]\[4\],22.24
RF.registers\[9\]\[9\],22.2
RF.registers\[4\]\[19\],22.18
RF.registers\[7\]\[6\],22.16
_1100_,22.16
_2451_,22.16
_2465_,22.16
_1297_,22.12
_1530_,22.12
RF.registers\[22\]\[26\],22.115
RF.registers\[2\]\[17\],22.115
RF.registers\[16\]\[8\],22.1
RF.registers\[14\]\[30\],22.035
RF.registers\[2\]\[26\],22.035
_1248_,22
_2528_,22
RF.registers\[26\]\[10\],21.995
_2435_,21.94
RF.registers\[7\]\[1\],21.92
_1417_,21.9
RF.registers\[18\]\[7\],21.89
RF.registers\[16\]\[7\],21.88
RF.registers\[17\]\[25\],21.88
RF.registers\[23\]\[25\],21.88
RF.registers\[5\]\[4\],21.88
RF.registers\[26\]\[28\],21.86
RF.registers\[4\]\[31\],21.86
RF.registers\[8\]\[27\],21.86
RF.registers\[10\]\[26\],21.85
RF.registers\[19\]\[17\],21.84
RF.registers\[26\]\[9\],21.83
RF.registers\[22\]\[30\],21.82
RF.registers\[29\]\[12\],21.82
RF.registers\[10\]\[28\],21.815
RF.registers\[20\]\[14\],21.8
RF.registers\[10\]\[16\],21.79
RF.registers\[26\]\[23\],21.775
RF.registers\[29\]\[24\],21.74
RF.registers\[22\]\[22\],21.735
RF.registers\[21\]\[6\],21.7
_1847_,21.68
_2466_,21.68
RF.registers\[0\]\[20\],21.64
_2889_,21.64
RF.registers\[28\]\[28\],21.62
RF.registers\[24\]\[11\],21.6
_1515_,21.6
_2689_,21.6
RF.registers\[3\]\[24\],21.58
RF.registers\[20\]\[3\],21.56
RF.registers\[18\]\[16\],21.55
RF.registers\[24\]\[14\],21.54
RF.registers\[24\]\[6\],21.54
RF.registers\[9\]\[16\],21.54
_2826_,21.54
RF.registers\[1\]\[25\],21.5
RF.registers\[20\]\[20\],21.5
RF.registers\[4\]\[4\],21.5
RF.registers\[8\]\[3\],21.48
RF.registers\[28\]\[20\],21.46
RF.registers\[7\]\[24\],21.46
_2344_,21.46
RF.registers\[10\]\[23\],21.45
_2129_,21.44
RF.registers\[2\]\[20\],21.43
_2216_,21.42
RF.registers\[16\]\[30\],21.4
_2625_,21.4
RF.registers\[3\]\[22\],21.38
_2152_,21.36
RF.registers\[31\]\[25\],21.34
_1636_,21.32
_1802_,21.32
_2381_,21.32
RF.registers\[28\]\[14\],21.3
RF.registers\[4\]\[22\],21.3
_2100_,21.3
RF.registers\[0\]\[31\],21.28
RF.registers\[17\]\[19\],21.28
RF.registers\[20\]\[9\],21.28
_1135_,21.28
RF.registers\[20\]\[19\],21.26
_1911_,21.26
RF.registers\[10\]\[24\],21.25
RF.registers\[17\]\[23\],21.24
RF.registers\[28\]\[18\],21.24
RF.registers\[17\]\[26\],21.22
RF.registers\[12\]\[8\],21.2
RF.registers\[16\]\[29\],21.2
RF.registers\[7\]\[13\],21.2
RF.registers\[7\]\[17\],21.2
RF.registers\[8\]\[6\],21.2
_1049_,21.2
_2977_,21.2
RF.registers\[16\]\[26\],21.18
RF.registers\[9\]\[27\],21.18
_2909_,21.18
RF.registers\[0\]\[28\],21.16
RF.registers\[5\]\[29\],21.16
RF.registers\[6\]\[18\],21.15
RF.registers\[1\]\[2\],21.14
_2667_,21.14
RF.registers\[18\]\[23\],21.13
_3626_,21.12
_2791_,21.08
RF.registers\[10\]\[25\],21.075
_1559_,21.04
RF.registers\[9\]\[24\],21.02
RF.registers\[31\]\[18\],21
_2372_,21
RF.registers\[19\]\[7\],20.98
_1336_,20.98
_2383_,20.98
RF.registers\[8\]\[30\],20.96
RF.registers\[10\]\[0\],20.95
RF.registers\[23\]\[13\],20.94
RF.registers\[31\]\[27\],20.92
_2766_,20.92
RF.registers\[26\]\[13\],20.91
RF.registers\[19\]\[27\],20.9
_1541_,20.9
_2290_,20.9
RF.registers\[6\]\[31\],20.895
RF.registers\[22\]\[9\],20.89
RF.registers\[26\]\[3\],20.87
RF.registers\[7\]\[27\],20.86
RF.registers\[10\]\[1\],20.84
RF.registers\[20\]\[8\],20.84
RF.registers\[1\]\[21\],20.82
RF.registers\[4\]\[28\],20.82
_2278_,20.82
RF.registers\[11\]\[20\],20.78
RF.registers\[27\]\[14\],20.78
RF.registers\[6\]\[1\],20.75
RF.registers\[19\]\[13\],20.74
RF.registers\[27\]\[12\],20.74
RF.registers\[6\]\[11\],20.74
_1810_,20.74
RF.registers\[23\]\[15\],20.72
_1295_,20.7
_1537_,20.65
RF.registers\[11\]\[27\],20.64
RF.registers\[20\]\[11\],20.62
RF.registers\[30\]\[18\],20.595
RF.registers\[12\]\[23\],20.56
_1342_,20.56
_1188_,20.54
RF.registers\[27\]\[11\],20.52
RF.registers\[28\]\[26\],20.5
RF.registers\[30\]\[31\],20.49
RF.registers\[11\]\[2\],20.48
RF.registers\[26\]\[21\],20.475
RF.registers\[27\]\[9\],20.46
RF.registers\[4\]\[25\],20.46
_1975_,20.46
_1771_,20.44
RF.registers\[12\]\[17\],20.435
_2840_,20.43
RF.registers\[30\]\[0\],20.425
_2187_,20.42
RF.registers\[17\]\[6\],20.4
RF.registers\[1\]\[17\],20.38
RF.registers\[6\]\[15\],20.32
RF.registers\[9\]\[30\],20.32
_1055_,20.32
_1134_,20.32
_1305_,20.32
_2055_,20.32
_2460_,20.32
RF.registers\[14\]\[13\],20.31
RF.registers\[12\]\[9\],20.3
RF.registers\[27\]\[1\],20.3
_2808_,20.3
_2848_,20.28
RF.registers\[14\]\[23\],20.27
RF.registers\[15\]\[27\],20.24
RF.registers\[24\]\[2\],20.24
RF.registers\[12\]\[11\],20.2
RF.registers\[3\]\[29\],20.19
_2124_,20.18
RF.registers\[15\]\[3\],20.16
RF.registers\[16\]\[28\],20.16
RF.registers\[24\]\[28\],20.16
RF.registers\[12\]\[28\],20.14
_1112_,20.14
_2661_,20.14
RF.registers\[18\]\[27\],20.13
RF.registers\[11\]\[15\],20.12
_2875_,20.12
RF.registers\[12\]\[18\],20.1
RF.registers\[7\]\[7\],20.08
RF.registers\[22\]\[11\],20.075
RF.registers\[16\]\[5\],20.04
_1602_,20.04
RF.registers\[18\]\[9\],20.03
_1518_,20.02
_1382_,20
RF.registers\[9\]\[25\],19.96
RF.registers\[14\]\[26\],19.95
RF.registers\[20\]\[29\],19.94
RF.registers\[0\]\[13\],19.92
RF.registers\[29\]\[2\],19.92
_1067_,19.92
_2878_,19.92
RF.registers\[26\]\[31\],19.915
RF.registers\[29\]\[27\],19.9
RF.registers\[30\]\[26\],19.895
RF.registers\[17\]\[22\],19.88
RF.registers\[5\]\[14\],19.88
RF.registers\[14\]\[31\],19.875
RF.registers\[29\]\[16\],19.87
RF.registers\[9\]\[19\],19.86
_2720_,19.84
RF.registers\[14\]\[0\],19.82
_2311_,19.82
RF.registers\[8\]\[23\],19.8
_1844_,19.78
RF.registers\[13\]\[3\],19.75
_1821_,19.74
RF.registers\[0\]\[16\],19.7
RF.registers\[10\]\[17\],19.7
RF.registers\[15\]\[0\],19.7
RF.registers\[16\]\[12\],19.7
RF.registers\[31\]\[23\],19.7
_1538_,19.7
_2287_,19.7
_2669_,19.7
RF.registers\[2\]\[21\],19.69
_2697_,19.68
_1980_,19.64
_2845_,19.64
RF.registers\[27\]\[3\],19.62
_2922_,19.62
RF.registers\[7\]\[16\],19.6
_2675_,19.6
RF.registers\[20\]\[23\],19.58
_2584_,19.58
RF.registers\[23\]\[16\],19.56
RF.registers\[29\]\[4\],19.52
_4149_,19.52
RF.registers\[22\]\[4\],19.49
RF.registers\[2\]\[13\],19.49
RF.registers\[18\]\[6\],19.485
RF.registers\[3\]\[2\],19.48
_1163_,19.48
RF.registers\[16\]\[27\],19.46
RF.registers\[22\]\[19\],19.46
RF.registers\[27\]\[31\],19.46
RF.registers\[31\]\[31\],19.46
_1299_,19.46
RF.registers\[10\]\[21\],19.455
RF.registers\[29\]\[20\],19.44
RF.registers\[5\]\[25\],19.44
RF.registers\[1\]\[9\],19.42
RF.registers\[27\]\[16\],19.42
RF.registers\[9\]\[23\],19.42
RF.registers\[7\]\[23\],19.4
_2170_,19.4
_2385_,19.4
RF.registers\[10\]\[11\],19.37
RF.registers\[0\]\[2\],19.36
RF.registers\[11\]\[11\],19.36
RF.registers\[0\]\[11\],19.34
RF.registers\[31\]\[4\],19.34
RF.registers\[9\]\[21\],19.34
_2539_,19.34
RF.registers\[24\]\[20\],19.32
RF.registers\[19\]\[23\],19.28
RF.registers\[3\]\[20\],19.28
RF.registers\[30\]\[7\],19.275
RF.registers\[16\]\[4\],19.25
RF.registers\[11\]\[29\],19.24
_2089_,19.24
_2749_,19.24
RF.registers\[19\]\[28\],19.2
_1560_,19.2
_2581_,19.18
_2851_,19.18
RF.registers\[14\]\[19\],19.15
RF.registers\[27\]\[17\],19.12
RF.registers\[3\]\[31\],19.12
RF.registers\[2\]\[19\],19.095
RF.registers\[23\]\[21\],19.08
RF.registers\[24\]\[10\],19.08
RF.registers\[23\]\[24\],19.06
RF.registers\[8\]\[14\],19.06
RF.registers\[23\]\[2\],19.04
_2137_,19.02
_2622_,19.015
_1371_,19
_1389_,19
RF.registers\[12\]\[10\],18.98
RF.registers\[13\]\[26\],18.98
RF.registers\[19\]\[20\],18.98
RF.registers\[24\]\[26\],18.98
RF.registers\[1\]\[29\],18.96
RF.registers\[24\]\[4\],18.96
RF.registers\[8\]\[12\],18.96
_1818_,18.94
RF.registers\[4\]\[29\],18.92
RF.registers\[18\]\[2\],18.915
RF.registers\[31\]\[21\],18.88
RF.registers\[17\]\[30\],18.86
RF.registers\[21\]\[12\],18.86
RF.registers\[8\]\[9\],18.86
_1710_,18.86
RF.registers\[24\]\[3\],18.84
RF.registers\[5\]\[13\],18.84
_1540_,18.84
RF.registers\[26\]\[7\],18.81
RF.registers\[30\]\[6\],18.81
RF.registers\[30\]\[9\],18.81
_1075_,18.8
RF.registers\[11\]\[21\],18.78
_1618_,18.76
_2008_,18.76
RF.registers\[26\]\[20\],18.755
_2745_,18.74
RF.registers\[7\]\[5\],18.735
RF.registers\[29\]\[9\],18.73
_2990_,18.72
RF.registers\[28\]\[3\],18.7
RF.registers\[9\]\[12\],18.7
_1056_,18.7
RF.registers\[2\]\[16\],18.69
_2743_,18.68
RF.registers\[16\]\[20\],18.67
RF.registers\[15\]\[23\],18.66
RF.registers\[16\]\[16\],18.66
RF.registers\[16\]\[1\],18.66
RF.registers\[8\]\[15\],18.66
RF.registers\[22\]\[20\],18.655
RF.registers\[22\]\[31\],18.655
RF.registers\[18\]\[4\],18.65
RF.registers\[3\]\[6\],18.62
RF.registers\[2\]\[12\],18.61
RF.registers\[20\]\[12\],18.6
RF.registers\[7\]\[0\],18.6
_2331_,18.6
RF.registers\[11\]\[18\],18.56
RF.registers\[23\]\[26\],18.56
_1604_,18.56
RF.registers\[0\]\[22\],18.54
RF.registers\[9\]\[2\],18.54
RF.registers\[30\]\[14\],18.535
RF.registers\[13\]\[5\],18.52
RF.registers\[3\]\[7\],18.52
RF.registers\[8\]\[4\],18.52
RF.registers\[9\]\[1\],18.52
_2425_,18.52
RF.registers\[13\]\[9\],18.5
_1943_,18.5
_2242_,18.5
_1128_,18.48
_2096_,18.48
RF.registers\[6\]\[2\],18.475
RF.registers\[19\]\[9\],18.46
RF.registers\[2\]\[18\],18.455
_2812_,18.44
RF.registers\[15\]\[28\],18.42
RF.registers\[1\]\[8\],18.42
RF.registers\[24\]\[21\],18.42
_1979_,18.41
RF.registers\[28\]\[1\],18.4
RF.registers\[6\]\[7\],18.39
RF.registers\[13\]\[22\],18.36
RF.registers\[28\]\[4\],18.36
RF.registers\[10\]\[15\],18.33
RF.registers\[20\]\[27\],18.32
RF.registers\[23\]\[14\],18.32
RF.registers\[4\]\[10\],18.32
RF.registers\[10\]\[14\],18.315
RF.registers\[19\]\[3\],18.3
_1794_,18.3
RF.registers\[24\]\[17\],18.28
_2197_,18.28
_1989_,18.26
_2606_,18.26
_2853_,18.24
RF.registers\[20\]\[6\],18.2
_2830_,18.2
RF.registers\[14\]\[3\],18.19
RF.registers\[6\]\[13\],18.19
RF.registers\[17\]\[9\],18.18
RF.registers\[20\]\[5\],18.18
RF.registers\[23\]\[19\],18.18
RF.registers\[3\]\[11\],18.18
RF.registers\[6\]\[10\],18.175
RF.registers\[28\]\[9\],18.16
RF.registers\[3\]\[18\],18.16
RF.registers\[12\]\[4\],18.14
RF.registers\[27\]\[19\],18.14
RF.registers\[28\]\[31\],18.14
RF.registers\[9\]\[28\],18.14
_2065_,18.12
RF.registers\[11\]\[26\],18.1
RF.registers\[7\]\[10\],18.1
_1141_,18.1
_1861_,18.1
_2617_,18.08
RF.registers\[21\]\[23\],18.06
_2663_,18.06
RF.registers\[10\]\[13\],18.055
RF.registers\[20\]\[16\],18.04
RF.registers\[17\]\[10\],18.02
RF.registers\[29\]\[30\],18.02
_2010_,18.02
_2469_,18.02
RF.registers\[25\]\[16\],18
RF.registers\[19\]\[6\],17.99
RF.registers\[4\]\[17\],17.98
RF.registers\[6\]\[28\],17.98
_2386_,17.98
RF.registers\[30\]\[25\],17.97
RF.registers\[19\]\[30\],17.96
RF.registers\[22\]\[13\],17.94
_1119_,17.94
_2226_,17.94
_2302_,17.94
RF.registers\[30\]\[22\],17.91
RF.registers\[22\]\[3\],17.89
RF.registers\[2\]\[3\],17.89
RF.registers\[8\]\[29\],17.88
RF.registers\[26\]\[15\],17.875
RF.registers\[2\]\[23\],17.87
RF.registers\[6\]\[20\],17.87
RF.registers\[14\]\[25\],17.86
RF.registers\[7\]\[22\],17.86
_2711_,17.86
_1419_,17.84
_1732_,17.84
RF.registers\[17\]\[29\],17.82
RF.registers\[24\]\[12\],17.82
RF.registers\[31\]\[17\],17.82
_2180_,17.82
_2257_,17.82
_2341_,17.82
_2911_,17.82
RF.registers\[26\]\[16\],17.81
RF.registers\[6\]\[6\],17.8
RF.registers\[11\]\[24\],17.78
RF.registers\[21\]\[1\],17.74
RF.registers\[6\]\[30\],17.7
RF.registers\[7\]\[20\],17.7
_3004_,17.7
RF.registers\[16\]\[21\],17.68
RF.registers\[16\]\[25\],17.68
_2775_,17.68
_2910_,17.68
RF.registers\[18\]\[21\],17.675
RF.registers\[3\]\[5\],17.66
_0482_,17.655
RF.registers\[13\]\[4\],17.64
RF.registers\[19\]\[29\],17.64
RF.registers\[19\]\[12\],17.62
RF.registers\[7\]\[29\],17.6
_1177_,17.6
_2203_,17.6
_2339_,17.6
_2945_,17.6
RF.registers\[1\]\[10\],17.58
_1472_,17.58
RF.registers\[19\]\[21\],17.56
RF.registers\[1\]\[12\],17.56
RF.registers\[1\]\[22\],17.56
_2575_,17.56
_3553_,17.56
RF.registers\[18\]\[0\],17.555
_2895_,17.54
RF.registers\[16\]\[15\],17.52
RF.registers\[31\]\[10\],17.52
RF.registers\[8\]\[31\],17.52
RF.registers\[9\]\[11\],17.52
_2628_,17.52
_2836_,17.52
RF.registers\[15\]\[12\],17.5
RF.registers\[29\]\[19\],17.48
_2387_,17.48
_2632_,17.48
RF.registers\[12\]\[26\],17.46
RF.registers\[19\]\[22\],17.46
RF.registers\[25\]\[14\],17.42
_2177_,17.42
_2857_,17.42
RF.registers\[26\]\[8\],17.41
RF.registers\[0\]\[7\],17.4
_2679_,17.4
_2018_,17.38
_1531_,17.37
RF.registers\[2\]\[14\],17.365
RF.registers\[11\]\[25\],17.36
RF.registers\[27\]\[8\],17.36
RF.registers\[29\]\[5\],17.36
RF.registers\[31\]\[19\],17.36
_1122_,17.36
RF.registers\[12\]\[30\],17.32
RF.registers\[30\]\[13\],17.31
RF.registers\[30\]\[23\],17.31
RF.registers\[10\]\[12\],17.305
_2270_,17.3
RF.registers\[10\]\[7\],17.29
RF.registers\[4\]\[9\],17.29
RF.registers\[5\]\[30\],17.28
_2571_,17.26
RF.registers\[19\]\[4\],17.24
RF.registers\[19\]\[18\],17.22
RF.registers\[5\]\[24\],17.22
_1230_,17.22
RF.registers\[12\]\[3\],17.215
RF.registers\[29\]\[17\],17.2
RF.registers\[11\]\[19\],17.18
RF.registers\[12\]\[13\],17.18
RF.registers\[15\]\[21\],17.18
_1841_,17.18
_1854_,17.18
_2074_,17.18
_2498_,17.18
RF.registers\[2\]\[8\],17.17
RF.registers\[13\]\[14\],17.16
RF.registers\[25\]\[13\],17.16
RF.registers\[3\]\[3\],17.16
_1764_,17.16
_1950_,17.16
RF.registers\[1\]\[30\],17.14
RF.registers\[12\]\[5\],17.12
_1608_,17.12
RF.registers\[6\]\[12\],17.115
RF.registers\[12\]\[21\],17.1
RF.registers\[6\]\[3\],17.09
_2597_,17.09
_2511_,17.07
RF.registers\[20\]\[13\],17.06
RF.registers\[6\]\[16\],17.06
RF.registers\[18\]\[28\],17.05
RF.registers\[3\]\[12\],17.05
_0690_,17.045
RF.registers\[31\]\[3\],17.02
_1569_,17.02
_3001_,17.02
RF.registers\[28\]\[10\],17
_2267_,17
_4136_,17
RF.registers\[26\]\[1\],16.99
RF.registers\[23\]\[3\],16.98
_2712_,16.98
RF.registers\[29\]\[15\],16.96
RF.registers\[29\]\[25\],16.96
RF.registers\[14\]\[7\],16.955
RF.registers\[0\]\[27\],16.94
_2827_,16.94
RF.registers\[7\]\[12\],16.92
RF.registers\[9\]\[14\],16.92
_2030_,16.92
_2295_,16.88
RF.registers\[12\]\[14\],16.86
RF.registers\[25\]\[5\],16.86
RF.registers\[31\]\[7\],16.86
RF.registers\[10\]\[8\],16.855
RF.registers\[22\]\[0\],16.85
_2012_,16.84
RF.registers\[18\]\[30\],16.835
RF.registers\[24\]\[19\],16.82
RF.registers\[8\]\[18\],16.82
_2633_,16.82
RF.registers\[10\]\[29\],16.815
RF.registers\[12\]\[15\],16.8
RF.registers\[29\]\[3\],16.8
RF.registers\[8\]\[26\],16.8
RF.registers\[0\]\[18\],16.78
_2309_,16.78
_3770_,16.78
RF.registers\[13\]\[29\],16.76
RF.registers\[5\]\[7\],16.76
_2521_,16.76
_2208_,16.74
_2272_,16.74
RF.registers\[26\]\[17\],16.735
RF.registers\[11\]\[14\],16.72
RF.registers\[21\]\[18\],16.72
_1623_,16.72
RF.registers\[10\]\[10\],16.71
RF.registers\[0\]\[17\],16.7
RF.registers\[8\]\[5\],16.7
_2940_,16.7
RF.registers\[26\]\[5\],16.695
RF.registers\[18\]\[15\],16.69
RF.registers\[25\]\[27\],16.68
_1491_,16.68
_1577_,16.68
_2163_,16.68
_2789_,16.66
RF.registers\[13\]\[0\],16.64
RF.registers\[13\]\[27\],16.64
RF.registers\[17\]\[27\],16.64
RF.registers\[21\]\[22\],16.64
RF.registers\[23\]\[6\],16.64
RF.registers\[9\]\[26\],16.64
_1864_,16.64
RF.registers\[27\]\[13\],16.62
RF.registers\[26\]\[6\],16.61
RF.registers\[12\]\[19\],16.6
RF.registers\[27\]\[25\],16.6
_2020_,16.6
RF.registers\[2\]\[15\],16.59
RF.registers\[7\]\[15\],16.58
RF.registers\[13\]\[15\],16.52
RF.registers\[19\]\[2\],16.52
RF.registers\[20\]\[26\],16.52
RF.registers\[18\]\[19\],16.515
_2616_,16.51
RF.registers\[13\]\[28\],16.5
RF.registers\[28\]\[16\],16.48
RF.registers\[8\]\[11\],16.48
RF.registers\[8\]\[8\],16.48
_1462_,16.48
_2059_,16.48
_2358_,16.48
_2538_,16.48
RF.registers\[3\]\[14\],16.46
RF.registers\[1\]\[28\],16.44
_1937_,16.44
_2898_,16.44
_2047_,16.42
_2213_,16.42
RF.registers\[0\]\[23\],16.38
RF.registers\[24\]\[25\],16.38
RF.registers\[5\]\[23\],16.38
_1327_,16.38
RF.registers\[30\]\[4\],16.37
_0397_,16.365
RF.registers\[15\]\[2\],16.36
RF.registers\[23\]\[28\],16.36
_2297_,16.36
RF.registers\[29\]\[6\],16.35
RF.registers\[15\]\[19\],16.34
RF.registers\[27\]\[4\],16.34
RF.registers\[7\]\[28\],16.34
RF.registers\[12\]\[31\],16.32
_2157_,16.32
_2176_,16.32
_2419_,16.32
_3003_,16.32
_3192_,16.32
RF.registers\[19\]\[16\],16.31
RF.registers\[12\]\[29\],16.3
RF.registers\[13\]\[24\],16.3
RF.registers\[25\]\[21\],16.3
RF.registers\[4\]\[14\],16.28
RF.registers\[10\]\[19\],16.27
RF.registers\[16\]\[17\],16.26
RF.registers\[27\]\[21\],16.26
RF.registers\[30\]\[2\],16.26
RF.registers\[2\]\[24\],16.255
RF.registers\[17\]\[5\],16.2
_1999_,16.2
_2090_,16.2
RF.registers\[28\]\[0\],16.18
_1564_,16.18
_2238_,16.18
RF.registers\[21\]\[24\],16.16
_1068_,16.16
_1825_,16.16
_2146_,16.16
RF.registers\[28\]\[21\],16.14
RF.registers\[31\]\[13\],16.14
RF.registers\[31\]\[16\],16.14
RF.registers\[26\]\[14\],16.13
_1561_,16.11
RF.registers\[15\]\[15\],16.1
RF.registers\[28\]\[15\],16.1
_2867_,16.1
_0526_,16.085
RF.registers\[2\]\[6\],16.07
_2822_,16.06
_2854_,16.06
_2222_,16.04
RF.registers\[3\]\[10\],16.02
RF.registers\[31\]\[6\],16
RF.registers\[13\]\[23\],15.98
RF.registers\[19\]\[11\],15.98
_2375_,15.98
RF.registers\[22\]\[28\],15.97
RF.registers\[31\]\[14\],15.94
_2724_,15.94
_2762_,15.94
RF.registers\[18\]\[3\],15.93
RF.registers\[16\]\[11\],15.9
_2449_,15.89
RF.registers\[11\]\[0\],15.88
RF.registers\[3\]\[0\],15.88
RF.registers\[2\]\[5\],15.875
RF.registers\[0\]\[29\],15.86
RF.registers\[26\]\[25\],15.86
RF.registers\[27\]\[5\],15.86
_3090_,15.86
RF.registers\[17\]\[15\],15.84
RF.registers\[21\]\[25\],15.84
RF.registers\[25\]\[25\],15.84
_1486_,15.84
RF.registers\[29\]\[8\],15.82
RF.registers\[0\]\[24\],15.81
RF.registers\[3\]\[16\],15.8
RF.registers\[15\]\[16\],15.78
RF.registers\[25\]\[23\],15.78
RF.registers\[7\]\[31\],15.78
RF.registers\[20\]\[18\],15.76
RF.registers\[20\]\[2\],15.76
_1033_,15.76
_1101_,15.76
_2882_,15.76
_0689_,15.745
_2892_,15.74
RF.registers\[18\]\[31\],15.71
RF.registers\[19\]\[14\],15.68
RF.registers\[18\]\[25\],15.675
RF.registers\[14\]\[21\],15.67
RF.registers\[7\]\[4\],15.66
_2368_,15.66
RF.registers\[2\]\[9\],15.655
RF.registers\[18\]\[22\],15.65
RF.registers\[26\]\[22\],15.61
RF.registers\[30\]\[29\],15.61
_2829_,15.6
RF.registers\[22\]\[2\],15.575
RF.registers\[26\]\[29\],15.575
RF.registers\[6\]\[29\],15.575
RF.registers\[22\]\[23\],15.57
RF.registers\[20\]\[24\],15.56
_1899_,15.56
_2520_,15.56
_1812_,15.54
RF.registers\[9\]\[18\],15.52
_1080_,15.52
RF.registers\[14\]\[16\],15.49
RF.registers\[19\]\[5\],15.48
_2735_,15.48
RF.registers\[11\]\[1\],15.46
RF.registers\[2\]\[11\],15.45
RF.registers\[0\]\[10\],15.435
RF.registers\[10\]\[27\],15.42
RF.registers\[21\]\[13\],15.42
RF.registers\[22\]\[7\],15.42
RF.registers\[25\]\[19\],15.4
RF.registers\[12\]\[6\],15.38
RF.registers\[25\]\[20\],15.38
_1517_,15.38
_1990_,15.36
RF.registers\[30\]\[16\],15.355
RF.registers\[25\]\[1\],15.34
RF.registers\[4\]\[18\],15.34
RF.registers\[18\]\[5\],15.335
RF.registers\[6\]\[19\],15.335
RF.registers\[9\]\[31\],15.32
RF.registers\[28\]\[13\],15.3
RF.registers\[29\]\[18\],15.28
RF.registers\[5\]\[9\],15.28
_2788_,15.28
RF.registers\[3\]\[25\],15.26
RF.registers\[4\]\[30\],15.26
RF.registers\[22\]\[27\],15.25
RF.registers\[23\]\[5\],15.24
RF.registers\[29\]\[0\],15.24
_1395_,15.24
RF.registers\[0\]\[0\],15.22
_1283_,15.22
RF.registers\[16\]\[22\],15.18
WD3[23],15.16
RF.registers\[13\]\[16\],15.14
RF.registers\[29\]\[29\],15.14
RF.registers\[7\]\[9\],15.12
_1452_,15.12
_1981_,15.12
_2153_,15.12
RF.registers\[25\]\[15\],15.09
_2164_,15.09
RF.registers\[25\]\[18\],15.08
_2719_,15.07
RF.registers\[16\]\[19\],15.06
RF.registers\[3\]\[8\],15.06
RF.registers\[8\]\[19\],15.06
RF.registers\[9\]\[13\],15.06
RF.registers\[14\]\[14\],15.03
_1212_,15.02
RF.registers\[2\]\[1\],15.015
_1539_,15
_1867_,15
_2838_,14.98
